,Unnamed: 0,cosine_distance_x,w1,w2,combined_words,C1,C2,S1,S2,Category,V1,V2,S_01,S_02,S_03,S_04,S_05,S_07,S_08,S_09,S_10,S_11,S_12,S_13,S_14,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,CB_06,CB_08,CB_09,CB_14,CB_15,CB_18,CB_19,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_37,CB_38,CB_40,CB_41,AMT_av,cosine_distance_y
435,1095,0.7156054926190536,shimmer,growl,growl_shimmer,Sound,Light,Sanim,Light,Emission,growl,shimmer,1,1,2,3,2,3,1.0,1,1,1,2,,2,1,1,1,1,1,3,2,1,1,1,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,6.0,1.0,1.0,1,1.0,1.0,1.763157895,0.24768382663186128
436,1096,0.7820704963086141,shimmer,grumble,grumble_shimmer,Sound,Light,Sanim,Light,Emission,grumble,shimmer,1,1,3,4,1,2,1.0,1,1,1,1,,3,1,1,1,2,1,2,1,1,1,1,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,5.0,1.0,1.0,1,1.0,1.0,3.0,1.0,1.0,1,1.0,2.0,2.162162162,0.3429089538375558
437,1097,0.8977742231900167,shimmer,grunt,grunt_shimmer,Sound,Light,Sanim,Light,Emission,grunt,shimmer,1,1,1,1,2,1,1.0,1,1,1,1,,3,1,1,1,1,1,1,2,1,1,2,1,1.0,1.0,3.0,2.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1.631578947,0.2904416274355316
438,1098,0.7085204455023546,shimmer,howl,howl_shimmer,Sound,Light,Sanim,Light,Emission,howl,shimmer,1,1,1,2,1,1,2.0,1,1,1,1,,2,1,1,1,2,1,4,1,1,1,2,1,1.0,2.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,3.0,1.388888889,0.2610346636090255
439,1099,0.7673273377940477,shimmer,moan,moan_shimmer,Sound,Light,Sanim,Light,Emission,moan,shimmer,1,1,2,2,5,2,3.0,1,1,1,1,,3,1,1,1,1,2,1,2,1,1,1,1,1.0,1.0,2.0,2.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.513513514,0.34548973713901643
440,1100,0.8133661731921172,shimmer,mutter,mutter_shimmer,Sound,Light,Sanim,Light,Emission,mutter,shimmer,1,1,2,3,1,2,2.0,1,1,1,1,,2,1,1,1,2,1,1,1,1,1,1,1,1.0,1.0,3.0,4.0,1,1,1.0,1.0,1.0,1,1,5.0,2.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,3.0,1.947368421,0.40797263899947445
441,1101,0.8483257849153452,shimmer,shout,shimmer_shout,Light,Sound,Light,Sanim,Emission,shimmer,shout,1,1,1,4,3,1,2.0,2,1,1,1,,2,1,1,1,1,2,3,2,1,1,1,1,1.0,1.0,1.0,4.0,4,1,1.0,1.0,1.0,1,1,2.0,7.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,3.0,1.567567568,0.4453973394755053
442,1102,0.774767033979638,shimmer,squawk,shimmer_squawk,Light,Sound,Light,Sanim,Emission,shimmer,squawk,1,1,1,5,4,1,3.0,1,1,1,1,,2,1,1,1,1,2,1,3,1,1,1,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.5833333330000001,0.2982436877386735
443,1103,0.7542940792887071,shimmer,wail,shimmer_wail,Light,Sound,Light,Sanim,Emission,shimmer,wail,1,1,2,1,4,1,1.0,1,1,1,1,,2,1,1,1,1,2,3,1,1,1,1,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.9210526319999999,0.27705844286150194
444,1104,0.6302930866788712,shimmer,whimper,shimmer_whimper,Light,Sound,Light,Sanim,Emission,shimmer,whimper,1,1,2,2,2,3,1.0,1,1,1,1,,3,1,1,1,2,1,2,1,1,1,1,2,1.0,1.0,3.0,3.0,2,1,1.0,1.0,1.0,1,1,5.0,1.0,1.0,1,2.0,1.0,3.0,1.0,1.0,1,1.0,1.0,1.8918918919999999,0.27523719897621124
445,1105,0.757589716591855,shimmer,whisper,shimmer_whisper,Light,Sound,Light,Sanim,Emission,shimmer,whisper,1,1,4,4,3,2,1.0,1,1,1,1,,2,1,2,1,3,2,3,2,1,1,1,1,1.0,1.0,2.0,2.0,1,1,1.0,1.0,1.0,1,1,3.0,2.0,1.0,1,2.0,1.0,7.0,1.0,1.0,1,1.0,2.0,2.0,0.3644104860229326
446,1106,0.7072166584199001,shimmer,yelp,shimmer_yelp,Light,Sound,Light,Sanim,Emission,shimmer,yelp,1,1,1,2,4,1,2.0,1,1,1,1,,2,2,1,1,1,2,2,1,1,1,2,1,1.0,1.0,3.0,1.0,1,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,1.0,1.6764705880000002,0.23346714701827886
447,1107,0.8103532680242121,shimmer,beep,beep_shimmer,Sound,Light,Sinanim,Light,Emission,beep,shimmer,1,1,1,2,3,1,1.0,1,1,1,1,,2,1,1,1,1,1,2,1,1,1,1,1,2.0,1.0,1.0,2.0,3,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,2.0,6.0,1.0,1.0,1,1.0,5.0,1.736842105,0.2904289063706518
448,1108,0.8434742209796342,shimmer,boom,boom_shimmer,Sound,Light,Sinanim,Light,Emission,boom,shimmer,1,1,1,1,4,1,3.0,1,1,1,1,,2,1,1,1,1,3,1,1,1,1,1,1,1.0,1.0,3.0,4.0,2,1,1.0,1.0,1.0,1,1,1.0,4.0,1.0,1,1.0,2.0,1.0,1.0,1.0,3,1.0,1.0,1.5641025640000001,0.39213004136536067
449,1109,0.7768513645053652,shimmer,buzz,buzz_shimmer,Sound,Light,Sinanim,Light,Emission,buzz,shimmer,1,1,4,4,3,3,1.0,2,1,1,1,,2,1,1,1,3,2,4,2,1,1,1,1,2.0,1.0,2.0,4.0,4,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,3.0,1.775,0.31120043582670265
450,1110,0.7426948127346946,shimmer,chime,chime_shimmer,Sound,Light,Sinanim,Light,Emission,chime,shimmer,1,1,3,1,3,2,4.0,1,1,1,3,,2,1,3,1,3,1,4,2,1,1,1,1,2.0,1.0,2.0,5.0,5,1,6.0,1.0,1.0,1,1,1.0,2.0,1.0,1,1.0,4.0,7.0,1.0,1.0,1,2.0,6.0,1.5,0.33443228830490757
451,1111,0.7428349379464755,shimmer,clang,clang_shimmer,Sound,Light,Sinanim,Light,Emission,clang,shimmer,1,1,1,1,5,1,2.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,1.0,5.0,4,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,5.0,1.6666666669999999,0.31646740905089554
452,1112,0.8114193147576696,shimmer,clank,clank_shimmer,Sound,Light,Sinanim,Light,Emission,clank,shimmer,1,1,1,1,2,1,1.0,1,1,1,1,,2,1,1,1,2,2,2,1,1,1,1,1,1.0,1.0,2.0,3.0,4,1,1.0,1.0,1.0,1,1,3.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.6,0.2843924983037661
453,1113,0.8285751101023981,shimmer,click,click_shimmer,Sound,Light,Sinanim,Light,Emission,click,shimmer,1,1,3,1,2,1,2.0,1,1,1,1,,1,1,1,1,2,2,1,2,1,1,2,1,2.0,1.0,1.0,4.0,3,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,2.0,1.0,7.0,1.0,1.0,1,1.0,2.0,1.894736842,0.5044819273213429
454,1114,0.7404851181563148,shimmer,crackle,crackle_shimmer,Sound,Light,Sinanim,Light,Emission,crackle,shimmer,1,1,4,5,4,4,4.0,2,1,1,3,,4,1,1,1,2,2,3,2,1,1,4,3,2.0,1.0,1.0,6.0,1,1,1.0,2.0,1.0,1,1,3.0,2.0,1.0,1,4.0,1.0,7.0,1.0,1.0,1,4.0,5.0,2.282051282,0.2210849369689415
455,1115,0.7341071171924751,shimmer,creak,creak_shimmer,Sound,Light,Sinanim,Light,Emission,creak,shimmer,1,1,2,3,4,1,3.0,1,1,1,1,,2,1,1,1,2,2,1,2,1,1,1,2,1.0,1.0,3.0,5.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,2.0,3.0,1.0,1.0,1,1.0,1.0,1.487179487,0.2777284992914105
456,1116,0.873229485460689,shimmer,crunch,crunch_shimmer,Sound,Light,Sinanim,Light,Emission,crunch,shimmer,1,1,2,1,1,2,2.0,1,1,1,1,,3,1,1,1,1,2,1,1,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,2.0,1.743589744,0.37302886044789263
457,1117,0.7144877196679098,shimmer,gurgle,gurgle_shimmer,Sound,Light,Sinanim,Light,Emission,gurgle,shimmer,1,1,2,3,2,1,3.0,1,1,1,1,,3,1,1,1,1,1,2,2,1,1,2,1,1.0,1.0,2.0,2.0,1,1,1.0,1.0,2.0,1,1,4.0,1.0,1.0,1,2.0,2.0,7.0,1.0,1.0,1,1.0,6.0,1.868421053,0.2576852187416182
458,1118,0.7318157593304777,shimmer,hiss,hiss_shimmer,Sound,Light,Sinanim,Light,Emission,hiss,shimmer,1,1,5,2,3,3,3.0,2,1,1,1,,2,1,1,1,3,2,3,2,1,1,1,2,1.0,1.0,1.0,4.0,1,1,1.0,1.0,1.0,1,1,3.0,3.0,1.0,1,2.0,1.0,7.0,1.0,1.0,1,1.0,5.0,1.846153846,0.28777843407696935
459,1119,0.688405460021376,shimmer,sizzle,shimmer_sizzle,Light,Sound,Light,Sinanim,Emission,shimmer,sizzle,1,1,4,4,3,3,4.0,3,1,1,1,,3,1,2,1,2,3,3,2,1,3,3,2,2.0,2.0,3.0,6.0,2,1,1.0,1.0,1.0,1,1,3.0,2.0,1.0,1,4.0,2.0,7.0,1.0,4.0,1,1.0,7.0,2.58974359,0.18730618929530252
460,1120,0.752516102636528,shimmer,squeak,shimmer_squeak,Light,Sound,Light,Sinanim,Emission,shimmer,squeak,1,1,2,1,3,1,3.0,1,1,1,1,,2,1,1,1,2,3,3,1,1,1,1,2,1.0,1.0,1.0,4.0,1,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,1.0,1.0,6.0,1.0,1.0,1,1.0,3.0,1.55,0.35122892913544423
461,1121,0.727751173808866,shimmer,twang,shimmer_twang,Light,Sound,Light,Sinanim,Emission,shimmer,twang,1,1,4,3,5,1,2.0,1,1,1,1,,2,1,2,1,1,2,3,2,1,1,2,1,1.0,1.0,4.0,3.0,4,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,2.0,2.0,5.0,1.0,1.0,1,1.0,3.0,1.692307692,0.3384214007398004
462,1182,0.7096941002222146,shine,sparkle,shine_sparkle,Light,Light,Light,Light,Emission,shine,sparkle,6,5,6,5,6,6,4.0,5,7,7,7,,6,3,1,5,7,6,7,6,7,6,7,6,6.0,7.0,7.0,6.0,6,1,7.0,7.0,4.0,6,5,6.0,7.0,7.0,6,7.0,7.0,7.0,4.0,7.0,5,7.0,5.0,5.794871795,0.26977191516835086
463,1183,0.6796050045305987,shine,twinkle,shine_twinkle,Light,Light,Light,Light,Emission,shine,twinkle,6,6,6,5,5,6,6.0,5,6,6,7,,6,6,2,4,6,5,5,5,3,2,7,7,4.0,4.0,7.0,6.0,5,3,6.0,7.0,3.0,6,5,5.0,5.0,6.0,6,4.0,7.0,4.0,5.0,7.0,5,5.0,5.0,5.307692308,0.3573519212466044
464,1184,0.8127290407609278,shine,bark,bark_shine,Sound,Light,Sanim,Light,Emission,bark,shine,1,1,2,4,3,2,3.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,1.0,3.0,3,1,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.432432432,0.49193015339455526
465,1185,0.8646172802586785,shine,bellow,bellow_shine,Sound,Light,Sanim,Light,Emission,bellow,shine,1,1,1,4,3,3,1.0,4,1,1,1,,2,1,2,1,6,1,2,1,1,1,1,2,1.0,1.0,3.0,2.0,3,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,2.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.638888889,0.41875440805078523
466,1186,0.8239258143696525,shine,groan,groan_shine,Sound,Light,Sanim,Light,Emission,groan,shine,1,1,1,2,2,1,1.0,1,1,1,1,,3,1,1,1,1,1,1,1,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.5555555559999998,0.4990141378023174
467,1187,0.9066671058307556,shine,growl,growl_shine,Sound,Light,Sanim,Light,Emission,growl,shine,1,1,1,3,3,1,1.0,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,2.0,3.0,1,1,1.0,1.0,1.0,3,1,3.0,4.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.864864865,0.45223589715418944
468,1188,0.8333825081413029,shine,grumble,grumble_shine,Sound,Light,Sanim,Light,Emission,grumble,shine,1,1,1,2,1,1,2.0,1,1,1,1,,3,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.657142857,0.46308291849392813
469,1189,0.8378877814755314,shine,grunt,grunt_shine,Sound,Light,Sanim,Light,Emission,grunt,shine,1,1,1,3,3,1,1.0,1,1,1,1,,3,1,1,1,1,1,1,2,1,1,1,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.763157895,0.4087436466020212
470,1190,0.8425087150455377,shine,howl,howl_shine,Sound,Light,Sanim,Light,Emission,howl,shine,1,1,1,5,4,4,1.0,2,1,1,1,,3,1,1,1,4,1,4,2,1,1,1,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,2.0,1.0,1.0,1.0,2.0,1,1.0,6.0,1.763157895,0.4492792014565202
471,1191,0.8672748754570612,shine,moan,moan_shine,Sound,Light,Sanim,Light,Emission,moan,shine,1,1,1,1,3,1,2.0,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.8378378380000002,0.5020506887488797
472,1192,0.8225702758760111,shine,mutter,mutter_shine,Sound,Light,Sanim,Light,Emission,mutter,shine,1,1,1,2,3,1,1.0,1,1,1,1,,3,2,1,1,1,1,1,2,1,1,1,1,1.0,1.0,2.0,2.0,1,1,1.0,1.0,1.0,2,1,2.0,1.0,1.0,1,1.0,2.0,6.0,1.0,1.0,1,1.0,1.0,1.631578947,0.5349818756423607
473,1193,0.8061323147914554,shine,shout,shine_shout,Light,Sound,Light,Sanim,Emission,shine,shout,1,1,2,2,3,5,3.0,2,1,1,1,,2,1,1,1,3,1,3,2,1,1,2,1,2.0,1.0,1.0,4.0,4,1,1.0,1.0,1.0,6,1,3.0,1.0,1.0,1,3.0,1.0,4.0,1.0,1.0,1,1.0,2.0,1.8108108109999999,0.5494325709664745
474,1194,0.8577942140412027,shine,squawk,shine_squawk,Light,Sound,Light,Sanim,Emission,shine,squawk,1,1,2,1,2,1,1.0,1,1,1,1,,2,1,1,1,1,2,2,1,1,1,2,1,1.0,1.0,1.0,3.0,3,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.973684211,0.4796285546964695
475,1195,0.7995012962181559,shine,wail,shine_wail,Light,Sound,Light,Sanim,Emission,shine,wail,1,1,1,4,1,2,2.0,1,1,1,1,,2,1,1,1,2,1,3,2,1,1,2,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,5.0,1.9210526319999999,0.4195545681843764
476,1196,0.9182570288621206,shine,whimper,shine_whimper,Light,Sound,Light,Sanim,Emission,shine,whimper,1,1,1,2,3,1,2.0,1,1,1,1,,2,1,1,1,2,1,1,1,1,1,1,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,4.0,1.0,1.0,1,1.0,1.0,1.972972973,0.48561642052853615
477,1197,0.8385237654418741,shine,whisper,shine_whisper,Light,Sound,Light,Sanim,Emission,shine,whisper,1,1,1,2,4,1,1.0,1,1,1,1,,3,1,1,1,2,1,2,1,1,1,1,1,1.0,1.0,1.0,3.0,4,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,4.0,1.0,1.0,1,1.0,1.0,2.1842105259999998,0.49955686038477365
478,1198,0.8335441562106678,shine,yelp,shine_yelp,Light,Sound,Light,Sanim,Emission,shine,yelp,1,1,2,4,4,1,1.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,2.0,3.0,1,1,1.0,1.0,1.0,1,1,4.0,6.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.648648649,0.4217686630078018
479,1199,0.89426471989961,shine,beep,beep_shine,Sound,Light,Sinanim,Light,Emission,beep,shine,1,1,1,2,3,4,2.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,1.0,3.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,4.0,1.425,0.4309500081714579
480,1200,0.9265095594380319,shine,boom,boom_shine,Sound,Light,Sinanim,Light,Emission,boom,shine,1,1,1,6,3,4,3.0,3,1,1,1,,2,1,1,1,1,2,3,3,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,2.0,1.0,4.0,1.0,1.0,1,1.0,4.0,2.075,0.5276935401516254
481,1201,0.9701983158471597,shine,buzz,buzz_shine,Sound,Light,Sinanim,Light,Emission,buzz,shine,1,1,3,3,1,3,2.0,2,1,1,1,,2,1,2,1,1,1,1,2,1,1,2,1,1.0,1.0,2.0,4.0,2,1,1.0,1.0,1.0,1,1,4.0,3.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,4.0,1.7837837840000001,0.4953439626248144
482,1202,0.8585256808979349,shine,chime,chime_shine,Sound,Light,Sinanim,Light,Emission,chime,shine,1,1,3,4,4,1,3.0,2,1,1,1,,3,1,1,1,4,2,3,2,1,1,1,1,2.0,1.0,3.0,5.0,2,1,1.0,1.0,1.0,5,1,5.0,1.0,1.0,1,1.0,2.0,7.0,1.0,1.0,2,1.0,6.0,1.641025641,0.4322139540977651
483,1203,0.8473767335613072,shine,clang,clang_shine,Sound,Light,Sinanim,Light,Emission,clang,shine,1,1,2,4,5,1,1.0,1,1,1,1,,2,1,1,1,4,3,4,1,1,1,2,1,1.0,4.0,1.0,4.0,3,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,2.0,4.0,1.0,1.0,1,1.0,3.0,1.525,0.47411966758385093
484,1204,0.7632812228041709,shine,clank,clank_shine,Sound,Light,Sinanim,Light,Emission,clank,shine,1,1,2,4,3,1,3.0,1,1,1,1,,2,1,1,1,2,1,1,2,1,1,1,1,1.0,1.0,3.0,3.0,1,1,1.0,1.0,1.0,1,1,3.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.794871795,0.4468035543807519
485,1205,0.9118224021807556,shine,click,click_shine,Sound,Light,Sinanim,Light,Emission,click,shine,1,1,1,1,2,2,1.0,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,2,1,2.0,1.0,1.0,3.0,3,1,1.0,1.0,1.0,5,1,3.0,1.0,1.0,1,1.0,1.0,4.0,1.0,1.0,1,1.0,1.0,1.65,0.51308922373
486,1206,0.8422604484472543,shine,crackle,crackle_shine,Sound,Light,Sinanim,Light,Emission,crackle,shine,1,1,1,3,5,3,3.0,3,5,1,1,,3,1,2,1,6,4,2,2,1,1,2,1,1.0,1.0,2.0,5.0,3,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,4.0,2.125,0.4385620149222771
487,1207,0.8062582732569754,shine,creak,creak_shine,Sound,Light,Sinanim,Light,Emission,creak,shine,1,1,2,2,2,1,1.0,1,1,1,1,,2,1,1,1,1,2,2,2,1,1,2,1,1.0,1.0,1.0,3.0,2,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.6,0.43682373000191266
488,1208,0.8965434778119608,shine,crunch,crunch_shine,Sound,Light,Sinanim,Light,Emission,crunch,shine,1,1,1,2,3,1,1.0,1,1,1,1,,2,1,1,1,1,2,1,2,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1,1.0,1.0,4.0,1.0,1.0,1,1.0,1.0,1.575,0.48205066061761315
489,1209,0.8509448000377822,shine,gurgle,gurgle_shine,Sound,Light,Sinanim,Light,Emission,gurgle,shine,1,1,1,2,1,1,3.0,1,1,1,1,,3,1,1,1,1,1,2,2,1,1,2,1,1.0,1.0,1.0,3.0,3,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,6.0,1.631578947,0.5017689705318877
490,1210,0.8026027439775892,shine,hiss,hiss_shine,Sound,Light,Sinanim,Light,Emission,hiss,shine,1,1,1,2,2,3,2.0,1,1,1,1,,2,2,1,1,1,3,3,1,1,1,1,1,2.0,3.0,1.0,4.0,1,1,1.0,1.0,2.0,1,1,2.0,5.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,3.0,1.375,0.4553128188791189
491,1211,0.8699132788478191,shine,sizzle,shine_sizzle,Light,Sound,Light,Sinanim,Emission,shine,sizzle,1,1,2,3,2,2,2.0,1,1,3,2,,3,1,6,1,3,3,3,3,1,1,4,1,2.0,5.0,1.0,5.0,1,1,1.0,1.0,1.0,1,1,5.0,3.0,1.0,1,1.0,1.0,7.0,1.0,4.0,3,1.0,4.0,2.575,0.38126008572185777
492,1212,0.8581153678666673,shine,squeak,shine_squeak,Light,Sound,Light,Sinanim,Emission,shine,squeak,1,1,1,2,5,1,1.0,1,1,1,1,,2,1,1,1,1,2,3,2,1,1,1,1,1.0,1.0,2.0,3.0,4,1,1.0,1.0,1.0,1,1,3.0,2.0,1.0,1,1.0,2.0,4.0,1.0,1.0,1,1.0,3.0,1.5,0.5044783432127533
493,1213,0.8354840380379477,shine,twang,shine_twang,Light,Sound,Light,Sinanim,Emission,shine,twang,1,1,2,1,1,4,1.0,1,1,1,1,,2,1,2,1,6,1,2,2,1,1,1,2,1.0,2.0,1.0,4.0,4,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,7.0,1.0,7.0,1,1.0,5.0,1.525,0.4884913165519419
494,1274,0.4956313092349023,sparkle,twinkle,sparkle_twinkle,Light,Light,Light,Light,Emission,sparkle,twinkle,6,6,6,7,6,7,6.0,5,7,7,7,,6,7,7,5,7,7,7,3,7,2,7,5,5.0,6.0,6.0,7.0,6,4,7.0,6.0,6.0,6,7,5.0,7.0,7.0,7,6.0,7.0,7.0,7.0,7.0,4,4.0,7.0,6.153846154,0.20388652687633035
495,1275,0.7669609181553534,sparkle,bark,bark_sparkle,Sound,Light,Sanim,Light,Emission,bark,sparkle,1,1,2,2,5,4,1.0,2,1,1,1,,3,1,1,1,1,1,2,2,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.8333333330000001,0.38773681073270616
496,1276,0.7771248755784737,sparkle,bellow,bellow_sparkle,Sound,Light,Sanim,Light,Emission,bellow,sparkle,1,1,2,1,1,3,1.0,1,1,1,1,,2,1,1,1,1,3,2,2,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,4.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.735294118,0.26140504678288523
497,1277,0.7307319285324532,sparkle,groan,groan_sparkle,Sound,Light,Sanim,Light,Emission,groan,sparkle,1,1,2,1,3,1,2.0,1,1,1,1,,2,1,1,1,1,1,3,2,1,1,1,1,2.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.378378378,0.2891626893055935
498,1278,0.7373756070534327,sparkle,growl,growl_sparkle,Sound,Light,Sanim,Light,Emission,growl,sparkle,1,1,2,3,2,1,2.0,1,1,1,1,,1,1,1,1,1,1,2,2,1,1,1,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,5.0,1.0,1.0,1,1.0,1.0,1.8378378380000002,0.23547117675084317
499,1279,0.6902938721631889,sparkle,grumble,grumble_sparkle,Sound,Light,Sanim,Light,Emission,grumble,sparkle,1,1,2,3,4,2,1.0,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,4.0,2,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1.9210526319999999,0.3015917518975113
500,1280,0.7951545882041565,sparkle,grunt,grunt_sparkle,Sound,Light,Sanim,Light,Emission,grunt,sparkle,1,1,1,2,2,1,1.0,1,1,1,1,,2,1,1,1,2,1,1,1,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.789473684,0.26544083640943605
501,1281,0.7380179021211066,sparkle,howl,howl_sparkle,Sound,Light,Sanim,Light,Emission,howl,sparkle,1,1,1,3,3,2,1.0,1,1,1,3,,2,1,2,1,1,2,3,1,1,1,2,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,4.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,3.0,1.648648649,0.26874198807957195
502,1282,0.7419404835930876,sparkle,moan,moan_sparkle,Sound,Light,Sanim,Light,Emission,moan,sparkle,1,1,2,1,2,1,1.0,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,2,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.5555555559999998,0.31358007053380677
