,Unnamed: 0,cosine_distance_x,w1,w2,combined_words,C1,C2,S1,S2,Category,V1,V2,S_01,S_02,S_03,S_04,S_05,S_07,S_08,S_09,S_10,S_11,S_12,S_13,S_14,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,CB_06,CB_08,CB_09,CB_14,CB_15,CB_18,CB_19,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_37,CB_38,CB_40,CB_41,AMT_av,cosine_distance_y
30,30,0.9138347532125272,blaze,boom,blaze_boom,Light,Sound,Light,Sinanim,Emission,blaze,boom,1,1,4,6,3,5,2.0,3,1,1,1,,4,1,7,1,4,3,4,3,1,3,2,2,2.0,1.0,3.0,5.0,4,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,3.0,4.0,7.0,3.0,1.0,1,2.0,7.0,2.8205128210000003,0.4864678980571022
31,31,0.9046121919764308,blaze,buzz,blaze_buzz,Light,Sound,Light,Sinanim,Emission,blaze,buzz,1,1,3,2,5,3,3.0,2,1,1,1,,3,1,2,1,4,2,2,2,1,1,3,1,2.0,1.0,2.0,5.0,3,1,1.0,1.0,1.0,7,1,2.0,1.0,1.0,1,1.0,1.0,6.0,1.0,4.0,1,1.0,5.0,2.051282051,0.4476120194241525
32,32,0.9209068158845336,blaze,chime,blaze_chime,Light,Sound,Light,Sinanim,Emission,blaze,chime,1,1,2,2,1,2,2.0,2,1,1,1,,3,1,1,1,1,3,3,2,1,1,2,1,1.0,1.0,1.0,4.0,4,1,1.0,1.0,2.0,1,1,4.0,1.0,1.0,1,1.0,1.0,4.0,1.0,1.0,5,1.0,5.0,1.763157895,0.44948869001549274
33,33,0.8050677321105177,blaze,clang,blaze_clang,Light,Sound,Light,Sinanim,Emission,blaze,clang,1,1,1,1,3,4,3.0,1,1,1,1,,2,1,2,1,1,2,3,2,1,1,1,1,1.0,1.0,2.0,3.0,3,1,1.0,1.0,1.0,2,1,3.0,3.0,1.0,1,1.0,1.0,7.0,1.0,1.0,1,1.0,5.0,2.153846154,0.38327114446188537
34,34,0.8912582507303973,blaze,clank,blaze_clank,Light,Sound,Light,Sinanim,Emission,blaze,clank,1,1,1,3,4,5,1.0,2,1,1,1,,1,1,2,1,1,2,1,1,1,1,2,1,1.0,1.0,3.0,3.0,1,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,1.0,2.0,7.0,1.0,1.0,1,1.0,4.0,1.7179487180000002,0.3922880753528746
35,35,0.9618819564632891,blaze,click,blaze_click,Light,Sound,Light,Sinanim,Emission,blaze,click,1,1,2,3,3,2,2.0,1,1,1,1,,4,1,1,1,1,3,2,2,1,1,1,1,1.0,1.0,2.0,4.0,4,1,1.0,1.0,1.0,1,1,3.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.65,0.6035641199804538
36,36,0.8672759786951244,blaze,crackle,blaze_crackle,Light,Sound,Light,Sinanim,Emission,blaze,crackle,3,1,2,4,7,5,3.0,3,6,1,1,,4,1,6,1,4,5,2,3,1,1,4,3,4.0,3.0,4.0,5.0,4,1,3.0,4.0,1.0,1,1,4.0,4.0,1.0,2,4.0,1.0,7.0,4.0,7.0,5,6.0,4.0,3.125,0.35464830650150925
37,37,0.8245817752437948,blaze,creak,blaze_creak,Light,Sound,Light,Sinanim,Emission,blaze,creak,1,1,1,5,2,2,2.0,1,1,1,1,,3,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,3.0,3,1,1.0,1.0,1.0,1,1,2.0,4.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.820512821,0.3692244435410408
38,38,0.8279922072074646,blaze,crunch,blaze_crunch,Light,Sound,Light,Sinanim,Emission,blaze,crunch,1,1,1,1,1,3,2.0,1,1,1,1,,3,1,1,1,1,1,2,2,1,1,2,1,1.0,1.0,1.0,4.0,2,1,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,3.0,1.871794872,0.4147498685368818
39,39,0.8595077481237734,blaze,gurgle,blaze_gurgle,Light,Sound,Light,Sinanim,Emission,blaze,gurgle,1,1,1,2,2,2,1.0,1,1,1,1,,3,1,1,4,1,1,2,1,1,1,2,2,1.0,1.0,1.0,3.0,4,1,1.0,1.0,1.0,1,1,4.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,3,1.0,2.0,1.575,0.374302828414682
40,40,0.909559615426123,blaze,hiss,blaze_hiss,Light,Sound,Light,Sinanim,Emission,blaze,hiss,1,1,3,3,5,3,4.0,1,1,1,1,,2,1,1,1,5,1,3,2,1,1,2,1,1.0,1.0,3.0,4.0,4,1,1.0,3.0,1.0,1,1,5.0,4.0,1.0,1,1.0,1.0,7.0,2.0,1.0,4,1.0,3.0,2.2,0.40412445398517405
41,41,0.8760898229479578,blaze,sizzle,blaze_sizzle,Light,Sound,Light,Sinanim,Emission,blaze,sizzle,1,1,4,1,5,4,4.0,3,6,1,1,,3,1,1,2,4,3,3,4,1,4,5,3,3.0,3.0,5.0,6.0,5,2,1.0,3.0,1.0,1,1,5.0,5.0,1.0,4,4.0,3.0,7.0,4.0,7.0,4,6.0,4.0,2.925,0.38301991971232796
42,42,0.907895643639138,blaze,squeak,blaze_squeak,Light,Sound,Light,Sinanim,Emission,blaze,squeak,1,1,1,3,4,1,2.0,1,1,1,1,,3,1,1,1,4,1,2,2,1,1,1,1,1.0,1.0,2.0,4.0,3,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0,1,1.0,1.0,1.41025641,0.4720679981219926
43,43,0.9630690254426196,blaze,twang,blaze_twang,Light,Sound,Light,Sinanim,Emission,blaze,twang,1,1,1,1,3,1,2.0,1,1,1,1,,2,1,1,1,1,1,3,2,1,1,2,2,1.0,1.0,1.0,4.0,3,1,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1,1.0,7.0,1.0,1.0,1.0,1,1.0,4.0,1.725,0.5032481390929475
44,104,0.833858235433923,blink,flare,blink_flare,Light,Light,Light,Light,Emission,blink,flare,1,2,5,4,3,3,3.0,1,1,1,1,,5,2,1,1,1,4,3,2,1,1,5,1,2.0,2.0,1.0,5.0,4,1,1.0,2.0,3.0,1,1,3.0,2.0,5.0,1,1.0,2.0,1.0,2.0,4.0,5,3.0,3.0,2.307692308,0.29717427291269294
45,105,0.7380747749335235,blink,flash,blink_flash,Light,Light,Light,Light,Emission,blink,flash,2,4,6,5,6,4,2.0,4,2,1,1,,5,5,7,5,4,6,6,3,3,2,6,4,5.0,3.0,7.0,6.0,6,6,1.0,6.0,3.0,6,1,4.0,3.0,1.0,1,2.0,6.0,7.0,4.0,1.0,5,7.0,6.0,4.815789474,0.3375426248372908
46,106,0.6732158511024873,blink,flicker,blink_flicker,Light,Light,Light,Light,Emission,blink,flicker,2,1,6,5,7,4,3.0,3,6,5,1,,6,1,1,4,6,6,7,5,1,1,6,7,4.0,4.0,6.0,6.0,6,1,5.0,4.0,5.0,6,1,5.0,5.0,4.0,2,6.0,7.0,7.0,7.0,1.0,4,3.0,6.0,4.384615385,0.26425887505400625
47,107,0.6828724390720622,blink,gleam,blink_gleam,Light,Light,Light,Light,Emission,blink,gleam,2,2,4,7,5,2,2.0,2,1,1,1,,5,1,2,1,1,5,3,1,1,1,5,2,1.0,4.0,1.0,5.0,5,1,7.0,2.0,2.0,1,1,4.0,2.0,4.0,1,1.0,2.0,1.0,2.0,1.0,4,3.0,5.0,2.368421053,0.30710856966756206
48,108,0.7248540629461495,blink,glimmer,blink_glimmer,Light,Light,Light,Light,Emission,blink,glimmer,1,1,5,5,5,3,4.0,2,1,1,1,,6,2,2,3,2,6,4,2,1,1,6,3,3.0,4.0,1.0,5.0,5,1,1.0,5.0,2.0,1,1,4.0,1.0,5.0,1,3.0,4.0,7.0,1.0,4.0,4,5.0,6.0,2.461538462,0.282732643215309
49,109,0.6256364374055352,blink,glint,blink_glint,Light,Light,Light,Light,Emission,blink,glint,2,3,5,4,2,6,2.0,1,1,1,1,,5,1,1,1,3,3,4,2,1,1,6,1,2.0,4.0,3.0,5.0,6,1,3.0,3.0,4.0,6,1,5.0,1.0,5.0,1,4.0,1.0,7.0,3.0,1.0,1,4.0,6.0,3.230769231,0.27270000229540114
50,110,0.7732179737962388,blink,glisten,blink_glisten,Light,Light,Light,Light,Emission,blink,glisten,2,1,3,7,3,3,2.0,1,1,1,1,,5,1,1,1,1,4,4,2,1,1,5,2,4.0,3.0,1.0,5.0,5,1,1.0,3.0,3.0,7,1,2.0,2.0,4.0,1,3.0,1.0,7.0,3.0,1.0,2,1.0,2.0,2.425,0.2734132201654126
51,111,0.7938342553107569,blink,glitter,blink_glitter,Light,Light,Light,Light,Emission,blink,glitter,1,2,4,7,4,4,3.0,1,1,1,1,,6,3,1,1,4,2,5,2,1,1,4,1,2.0,3.0,2.0,4.0,4,1,1.0,2.0,3.0,6,1,4.0,1.0,4.0,1,1.0,1.0,6.0,1.0,1.0,4,1.0,4.0,2.769230769,0.3125445454640602
52,112,0.6878686416933367,blink,glow,blink_glow,Light,Light,Light,Light,Emission,blink,glow,1,2,1,1,5,1,2.0,1,1,1,1,,5,1,1,5,1,4,3,2,3,1,6,3,2.0,4.0,3.0,4.0,5,1,1.0,4.0,2.0,1,1,3.0,3.0,4.0,1,5.0,3.0,1.0,3.0,1.0,5,1.0,3.0,2.75,0.2960197606117688
53,113,0.7582979361578015,blink,shimmer,blink_shimmer,Light,Light,Light,Light,Emission,blink,shimmer,1,1,4,4,4,2,3.0,1,1,1,1,,5,1,1,2,2,5,4,2,1,3,6,2,4.0,3.0,1.0,5.0,5,1,1.0,4.0,3.0,7,1,1.0,1.0,5.0,1,1.0,3.0,3.0,1.0,1.0,5,6.0,2.0,3.275,0.2521826086416159
54,114,0.72754144377721,blink,shine,blink_shine,Light,Light,Light,Light,Emission,blink,shine,1,2,1,4,4,2,2.0,1,1,1,1,,5,2,1,1,2,3,4,3,1,1,6,1,2.0,2.0,2.0,4.0,5,1,1.0,1.0,3.0,1,1,4.0,5.0,4.0,1,1.0,2.0,1.0,3.0,1.0,3,3.0,3.0,2.8717948719999997,0.36177562748512826
55,115,0.7714702893481397,blink,sparkle,blink_sparkle,Light,Light,Light,Light,Emission,blink,sparkle,1,2,5,4,2,4,2.0,2,1,1,1,,6,1,1,2,4,5,5,2,1,3,4,1,4.0,3.0,3.0,3.0,4,1,7.0,3.0,4.0,1,1,4.0,3.0,5.0,1,1.0,1.0,7.0,4.0,3.0,4,1.0,5.0,3.325,0.26446909075446356
